ra_num,ra,nome,nome_curto,curso,periodo,campus,senha_hash,ativo,fichas_almoco,fichas_jantar
2830001,a02830001,HENRIQUE ALMEIDA SOUZA,Henrique Almeida,Tecnologia em Fabricação Mecânica,5º Período,Ponta Grossa,1234,1,0,0
2830002,a02830002,YASMIN VIEIRA COSTA,Yasmin Vieira,Engenharia de Bioprocessos e Biotecnologia,7º Período,Ponta Grossa,1234,0,0,0
2830003,a02830003,BRUNO CUNHA MACEDO,Bruno Cunha,Ciência da Computação,4º Período,Ponta Grossa,1234,1,4,3
2830004,a02830004,ANDRÉ MARTINS CAVALCANTI,André Martins,Engenharia Mecânica,5º Período,Ponta Grossa,1234,1,0,0
2830005,a02830005,CLÁUDIO MOURA MOREIRA,Cláudio Moura,Engenharia Elétrica,3º Período,Ponta Grossa,1234,1,5,1
2830006,a02830006,LUCAS COSTA FREITAS,Lucas Costa,Engenharia Elétrica,6º Período,Ponta Grossa,1234,1,3,1
2830007,a02830007,JOÃO DIAS VIEIRA,João Dias,Engenharia de Produção,7º Período,Ponta Grossa,1234,1,1,3
2830008,a02830008,ALINE FARIAS CARVALHO,Aline Farias,Engenharia de Bioprocessos e Biotecnologia,2º Período,Ponta Grossa,1234,0,0,1
2830009,a02830009,BEATRIZ MARTINS RODRIGUES,Beatriz Martins,Tecnologia em Fabricação Mecânica,5º Período,Ponta Grossa,1234,1,5,1
2830010,a02830010,GUSTAVO BARROS CORREIA,Gustavo Barros,Tecnologia em Análise e Desenvolvimento de Sistemas,5º Período,Ponta Grossa,1234,1,4,0
2830011,a02830011,IGOR ARAÚJO VIEIRA,Igor Araújo,Engenharia de Bioprocessos e Biotecnologia,4º Período,Ponta Grossa,1234,1,2,1
2830012,a02830012,HENRIQUE REIS MARTINS,Henrique Reis,Tecnologia em Automação Industrial,6º Período,Ponta Grossa,1234,1,5,0
2830013,a02830013,BRUNO SANTOS TEIXEIRA,Bruno Santos,Engenharia Química,5º Período,Ponta Grossa,1234,1,3,1
2830014,a02830014,CAMILA CAMPOS BARBOSA,Camila Campos,Ciência da Computação,8º Período,Ponta Grossa,1234,1,0,0
2830015,a02830015,AMANDA REIS VIEIRA,Amanda Reis,Ciência da Computação,7º Período,Ponta Grossa,1234,1,2,1
2830016,a02830016,BRUNO NASCIMENTO CUNHA,Bruno Nascimento,Engenharia de Bioprocessos e Biotecnologia,2º Período,Ponta Grossa,1234,1,5,0
2830017,a02830017,FERNANDA ARAÚJO MOURA,Fernanda Araújo,Engenharia Elétrica,2º Período,Ponta Grossa,1234,1,3,2
2830018,a02830018,DÉBORA RIBEIRO REIS,Débora Ribeiro,Engenharia Elétrica,2º Período,Ponta Grossa,1234,1,3,1
2830019,a02830019,ELIANE MOREIRA ALMEIDA,Eliane Moreira,Tecnologia em Análise e Desenvolvimento de Sistemas,7º Período,Ponta Grossa,1234,1,0,1
2830020,a02830020,LEONARDO FERNANDES CUNHA,Leonardo Fernandes,Tecnologia em Automação Industrial,5º Período,Ponta Grossa,1234,1,3,3
2830021,a02830021,FELIPE LIMA BARROS,Felipe Lima,Ciência da Computação,1º Período,Ponta Grossa,1234,1,2,0
2830022,a02830022,MARIANA BARROS CARDOSO,Mariana Barros,Tecnologia em Análise e Desenvolvimento de Sistemas,1º Período,Ponta Grossa,1234,1,3,0
2830023,a02830023,BEATRIZ CAMPOS PEREIRA,Beatriz Campos,Engenharia Elétrica,3º Período,Ponta Grossa,1234,1,2,3
